Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Adam Brinson Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Twin City, Georgia, USA",,,,,,,,Twin City,,,Emanuel County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.twincityga.com/Museums.aspx,,,,,,"","","",,,,,,,29,,,30471-0029,,,,,,"","",
,African American Sports Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"120 POWERS FERRY RD SE, MARIETTA, GA 30067",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30067,,,,,,"","",
,African-American Historical Association Of Newton County,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Covington, Georgia, USA",,,,,,,,Covington,,,Newton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,1538,,,30054-1538,,,,,,"","",
,African-American Research Library And Cultural Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hephzibah, Georgia, USA",,,,,"2863 CONNISTON DR, HEPHZIBAH, GA 30815-8007",,,Hephzibah,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30815-8007,,,,,,"","",
,Africian American Alliance,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Newnan, Georgia, USA",,,,,"92 FARMER ST, NEWNAN, GA 30263-1436",,,Newnan,,,Coweta County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30263-1436,,,,,,"","",
,Air Acres Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Woodstock, Georgia, USA",,,,,"376 AIR ACRES WAY, WOODSTOCK, GA 30188-2910",,,Woodstock,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30188-2910,,,,,,"","",
,Airborne Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"424 DALTON DR, COLUMBUS, GA 31904-2332",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31904-2332,,,,,,"","",
,Albany Civil Rights Institute,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Albany, Georgia, USA",,,,,"326 W WHITNEY AVENUE, ALBANY, GA 31706-6036",,,Albany,,,Dougherty County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.albanycivilrightsinstitute.org/,,,,,,"","","",,,,,,,,,,31706-6036,,,,,,"","",
,Allman Brothers Band Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"2321 VINEVILLE AVE, MACON, GA 31204",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.thebighousemuseum.com/,,,,,,"","","",,,,,,,,,,31204,,,,,,"","",
,Alpharetta Historical Society at the Mansell House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"1835 OLD MILTON PKWY, ALPHARETTA, GA 30009-1823",,,Alpharetta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.n-georgia.com/alpharetta-historical-society.html,,,,,,"","","",,,,,,,,,,30009-1823,,,,,,"","",
,The Alpharetta & Old Milton County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"  ",,,Alpharetta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://aomchs.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Altamaha Heritage Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lyons, Georgia, USA",,,,,,,,Lyons,,,Toombs County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/altamahaheritagecenter/,,,,,,"","","",,,,,,,1085,,,30436-6085,,,,,,"","",
,American Society For The History Of Rhetoric,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Watkinsville, Georgia, USA",,,,,"PENN STATE UNIVERSITY DEPT COMMUNICATION ARTS & SCIENCES 223 SPARKS, UNIVERSITY PARK, PA 30677-4125",,,Watkinsville,,,Oconee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30677-4125,,,,,,"","",
,Ames Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Bogart, Georgia, USA",,,,,"1660 JENNINGS MILL RD, BOGART, GA 30622-2532",,,Bogart,,,Oconee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://amessociety.org,,,,,,"","","",,,,,,,,,,30622-2532,,,,,,"","",
,Andalusia Farm- Home Of Flannery O'connor,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Milledgeville, Georgia, USA",,,,,"2628 N COLUMBIA ST, MILLEDGEVILLE, GA 31061",,,Milledgeville,,,Baldwin County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://andalusiafarm.org/,,,,,,"","","",,,,,,,,,,31061,,,,,,"","",
,Andersonville National Historic Site,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Andersonville, Georgia, USA",,,,,"496 CEMETERY ROAD, ANDERSONVILLE, GA 31711",,,Andersonville,,,Sumter County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.nps.gov/ande/index.htm,,,,,,"","","",,,,,,,,,,31711,,,,,,"","",
,Animation Hall Of Fame,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Rincon, Georgia, USA",,,,,"139 BROOKSTONE WAY, RINCON, GA 31326-3403",,,Rincon,,,Effingham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.animationhalloffame.org,,,,,,"","","",,,,,,,,,,31326-3403,,,,,,"","",
,Anne Frank In World,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Sandy Springs, Georgia, USA",,,,,"5920 ROSWELL RD, SANDY SPRINGS, GA 30328",,,Sandy Springs,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://holocaust.georgia.gov/,,,,,,"","","",,,,,,,,,,30328,,,,,,"","",
,Apex Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"135 AUBURN AVENUE, ATLANTA, GA 30303-2567",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.apexmuseum.org,,,,,,"","","",,,,,,,,,,30303-2567,,,,,,"","",
,Appling County Heritage Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Baxley, Georgia, USA",,,,,"137 THOMAS ST, BAXLEY, GA 31515-0087",,,Baxley,,,Appling County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31515-0087,,,,,,"","",
,Aragon Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Aragon, Georgia, USA",,,,,"105 NEW PROSPECT R, ARAGON, GA 30104",,,Aragon,,,Polk County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/AragonHistoricalSociety/,,,,,,"","","",,,,,,,,,,30104,,,,,,"","",
,Archibald Smith Plantation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roswell, Georgia, USA",,,,,"935 ALPHARETTA ST, ROSWELL, GA 30075-3827",,,Roswell,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.roswellgov.com/smithplantation,,,,,,"","","",,,,,,,,,,30075-3827,,,,,,"","",
,Army Aviation Heritage Foundation And Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hampton, Georgia, USA",,,,,"506 SPEEDWAY BLVD, HAMPTON, GA 30228-1803",,,Hampton,,,Henry County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://armyav.org/,,,,,,"","","",,,,,,,,,,30228-1803,,,,,,"","",
,Art Station,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Stone Mountain, Georgia, USA",,,,,"5384 MANOR DRIVE, STONE MOUNTAI, GA 30086-1998",,,Stone Mountain,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.artstation.org/,,,,,,"","","",,,,,,,,,,30086-1998,,,,,,"","",
,Arthur J Moore Methodist Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Simons Island, Georgia, USA",,,,,"100 ARTHUR J MOORE DR, ST SIMONS ISLAND, GA 31522-7081",,,St Simons Island,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.mooremethodistmuseum.com/,,,,,,"","","",,,,,,,,,,31522-7081,,,,,,"","",
,Athens Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Athens, Georgia, USA",,,,,,,,Athens,,,Clarke County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.athenshistorical.org/index,,,,,,"","","",,,,,,,7745,,,30604-7745,,,,,,"","",
,Atlanta Athletic Club Jones Room Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Johns Creek, Georgia, USA",,,,,"1930 BOBBY JONES DR, JOHNS CREEK, GA 30097-2402",,,Johns Creek,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.atlantaathleticclub.org,,,,,,"","","",,,,,,,,,,30097-2402,,,,,,"","",
,Atlanta Beltline Partnership,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"86 PRYOR ST SE #300, ATLANTA, GA 30303-2940",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://beltline.org/about/atlanta-beltline-partnership/,,,,,,"","","",,,,,,,,,,30303-2940,,,,,,"","",
,Atlanta Heritage Row,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"130 W PACES FERRY RD NW, ATLANTA, GA 30305-1380",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30305-1380,,,,,,"","",
,Atlanta Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"130 W PACES FERRY RD NW, ATLANTA, GA 30305-1380",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30305-1380,,,,,,"","",
,Atlanta History Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"130 W PACES FERRY RD NW, ATLANTA, GA 30305-1380",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.atlantahistorycenter.com,,,,,,"","","",,,,,,,,,,30305-1380,,,,,,"","",
,Atlanta Medical Heritage,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"3025 RIVER NORTH PKWY NW, ATLANTA, GA 30328-1117",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://atlantamedicalassociation.org/,,,,,,"","","",,,,,,,,,,30328-1117,,,,,,"","",
,Atlanta Preservation Center Inc 401,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"327 SAINT PAUL AVE SE, ATLANTA, GA 30312-3129",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.atlantapreservationcenter.com/index,,,,,,"","","",,,,,,,,,,30312-3129,,,,,,"","",
,Atlanta Tech Lib & Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"441 FREEDOM PKWY NE, ATLANTA, GA 30306-4447",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30306-4447,,,,,,"","",
,Augusta Cotton Exchange Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"32 EIGHTH ST, AUGUSTA, GA 30901",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/nr/travel/augusta/augustacottonex.html,,,,,,"","","",,,,,,,,,,30901,,,,,,"","",
,Augusta International Raceway Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Martinez, Georgia, USA",,,,,,,,Martinez,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://augustainternationalraceway.org/,,,,,,"","","",,,,,,,212248,,,30917-2248,,,,,,"","",
,Augusta Museum Of History,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"560 REYNOLDS ST, AUGUSTA, GA 30901-1430",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.augustamuseum.org,,,,,,"","","",,,,,,,,,,30901-1430,,,,,,"","",
,Augusta Richmond County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"2500 WALTON WAY 10, AUGUSTA, GA 30904-4562",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.thearchs.org/index.html,,,,,,"","","",,,,,,,,,,30904-4562,,,,,,"","",
,Avian Learning Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cohutta, Georgia, USA",,,,,"5384 BLAIR RD, COHUTTA, GA 30710",,,Cohutta,,,Whitfield County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/C-E-Blevins-Avian-Learning-Center-171180162942/,,,,,,"","","",,,,,,,,,,30710,,,,,,"","",
,Aviation Museum At Marietta Georgia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"358 ROSWELL ST SE, MARIETTA, GA 30060",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.theaviationwing.com/,,,,,,"","","",,,,,,,,,,30060,,,,,,"","",
,B. J. Palmer Historic Home,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Smyrna, Georgia, USA",,,,,"1634 WHITE CIR STE 102, MARIETTA, GA 30066-5809",,,Smyrna,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30066-5809,,,,,,"","",
,Baptist History And Heritage Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"151 BROADLEAF DR, MACON, GA 31210",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.baptisthistory.org/,,,,,,"","","",,,,,,,,,,31210,,,,,,"","",
,Barnesville Lamar County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Barnesville, Georgia, USA",,,,,"858 THOMASTON ST, BARNESVILLE, GA 30204-1752",,,Barnesville,,,Lamar County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30204-1752,,,,,,"","",
,Barnesville Old Jail Museum & Archives,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Barnesville, Georgia, USA",,,,,"  ",,,Barnesville,,,Lamar County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://sites.rootsweb.com/~galamar/society.html,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Barrington,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roswell, Georgia, USA",,,,,"275 SPRING CREEK RD, ROSWELL, GA 30075-2525",,,Roswell,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/barrington-hall,,,,,,"","","",,,,,,,,,,30075-2525,,,,,,"","",
,Barrow County Historical Society & Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Winder, Georgia, USA",,,,,,,,Winder,,,Barrow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,277,,,30680-0277,,,,,,"","",
,Barrow County Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Winder, Georgia, USA",,,,,"74 W ATHENS ST, WINDER, GA 30680",,,Winder,,,Barrow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/barrowcountymuseum,,,,,,"","","",,,,,,,,,,30680,,,,,,"","",
,Barrow Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Winder, Georgia, USA",,,,,"18 ROCKWELL CHURCH RD NE, WINDER, GA 30680-3043",,,Winder,,,Barrow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://preservebarrow.wordpress.com/,,,,,,"","","",,,,,,,,,,30680-3043,,,,,,"","",
,Bartow History Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cartersville, Georgia, USA",,,,,"4 E CHURCH ST, CARTERSVILLE, GA 30120",,,Cartersville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://bartowhistorymuseum.org/,,,,,,"","","",,,,,,,,,,30120,,,,,,"","",
,Beach Institute Cultural Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"502 EAST HARRIS ST, SAVANNAH, GA 31404",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.beachinstitute.org/,,,,,,"","","",,,,,,,,,,31404,,,,,,"","",
,Beulah Rucker Museum Education Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Gainesville, Georgia, USA",,,,,"2101 ATHENS HWY, GAINESVILLE, GA 30507-7405",,,Gainesville,,,Hall County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.beulahruckermuseum.org/,,,,,,"","","",,,,,,,,,,30507-7405,,,,,,"","",
,Biblical History Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lagrange, Georgia, USA",,,,,"130 GORDON COMMERCIAL DR, LAGRANGE, GA 30240-5740",,,Lagrange,,,Troup County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://biblicalhistorycenter.com/,,,,,,"","","",,,,,,,,,,30240-5740,,,,,,"","",
,Big House Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"2321 VINEVILLE AVE, MACON, GA 31208-4291",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,duplicate entry,,,,,,"","","",,,,,,,,,,31208-4291,,,,,,"","",
,Big Shanty Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Kennesaw, Georgia, USA",,,,,"2829 CHEROKEE STREET, KENNESAW, GA 30144",,,Kennesaw,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30144,,,,,,"","",
,Blackstock Southern Heritage Agricultural Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Calhoun, Georgia, USA",,,,,"260 LANCE RD NE, CALHOUN, GA 30701-4927",,,Calhoun,,,Gordon County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30701-4927,,,,,,"","",
,Bo Bartlett Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"4225 UNIVERSITY AVENUE, COLUMBUS, GA 31907",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://bobartlettcenter.org/,,,,,,"","","",,,,,,,,,,31907,,,,,,"","",
,Bonaventure Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"330 BONAVENTURE ROAD, SAVANNAH, GA 31414-5954",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.bonaventurehistorical.org/,,,,,,"","","",,,,,,,,,,31414-5954,,,,,,"","",
,Booth Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cartersville, Georgia, USA",,,,,"  ",,,Cartersville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://boothmuseum.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Brantley County Historical & Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Nahunta, Georgia, USA",,,,,,,,Nahunta,,,Brantley County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://sites.rootsweb.com/~gabrantl/branco-home.html,,,,,,"","","",,,,,,,1096,,,31553-1096,,,,,,"","",
,Bremen Textile And Railroad Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Bremen, Georgia, USA",,,,,"29 JOHN ALLEN ROAD, BREMEN, GA 30110-2045",,,Bremen,,,Haralson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30110-2045,,,,,,"","",
,Brown House Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Sandersville, Georgia, USA",,,,,"268 N HARRIS ST, SANDERSVILLE, GA 31082",,,Sandersville,,,Washington County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://wacohistorical.org/historical-sites/brown-house-museum-ca-1851/,,,,,,"","","",,,,,,,,,,31082,,,,,,"","",
,Brown Park,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"251 LAKEWOOD DR SE, MARIETTA, GA 30060-2255",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.mariettaga.gov/Facilities/Facility/Details/Brown-Park-10,,,,,,"","","",,,,,,,,,,30060-2255,,,,,,"","",
